samp_id,label
1,6
2,5
3,10
4,0
5,3
6,21
7,10
8,14
9,3
10,7
11,8
12,8
13,17
14,12
15,6
16,4
17,22
18,0
19,7
20,12
21,2
22,0
23,21
24,4
25,10
26,15
27,12
28,15
29,7
30,20
31,12
32,13
33,13
34,19
35,3
36,21
37,13
38,3
39,18
40,2
41,8
42,15
43,8
44,23
45,14
46,5
47,21
48,4
49,19
50,8
51,20
52,22
53,10
54,14
55,16
56,16
57,21
58,4
59,6
60,17
61,24
62,8
63,11
64,22
65,2
66,10
67,1
68,4
69,18
70,4
71,20
72,6
73,15
74,4
75,3
76,3
77,15
78,11
79,2
80,6
81,17
82,2
83,7
84,21
85,23
86,7
87,4
88,20
89,5
90,4
91,2
92,1
93,7
94,19
95,13
96,5
97,0
98,0
99,19
100,21
101,8
102,4
103,2
104,20
105,16
106,1
107,15
108,4
109,12
110,6
111,12
112,5
113,8
114,24
115,2
116,19
117,14
118,24
119,12
120,17
121,4
122,13
123,13
124,4
125,12
126,8
127,6
128,21
129,4
130,15
131,11
132,20
133,2
134,22
135,23
136,23
137,4
138,21
139,22
140,3
141,15
142,12
143,7
144,24
145,21
146,6
147,1
148,23
149,20
150,5
151,4
152,21
153,3
154,21
155,5
156,15
157,2
158,10
159,7
160,5
161,14
162,21
163,8
164,4
165,12
166,23
167,18
168,3
169,19
170,8
171,8
172,13
173,4
174,16
175,3
176,17
177,12
178,23
179,17
180,1
181,13
182,16
183,24
184,23
185,2
186,7
187,8
188,7
189,1
190,4
191,23
192,3
193,0
194,23
195,13
196,15
197,13
198,5
199,11
200,1
201,7
202,6
203,13
204,20
205,15
206,0
207,22
208,21
209,20
210,14
211,3
212,8
213,4
214,12
215,12
216,6
217,3
218,15
219,4
220,10
221,4
222,15
223,5
224,6
225,17
226,1
227,2
228,15
229,20
230,18
231,12
232,6
233,5
234,5
235,5
236,1
237,21
238,8
239,15
240,24
241,10
242,7
243,7
244,18
245,11
246,1
247,15
248,4
249,10
250,17
251,16
252,1
253,24
254,12
255,24
256,1
257,22
258,19
259,4
260,15
261,10
262,4
263,3
264,12
265,16
266,8
267,7
268,17
269,14
270,6
271,24
272,22
273,20
274,24
275,7
276,4
277,24
278,6
279,8
280,13
281,7
282,5
283,6
284,6
285,6
286,4
287,12
288,18
289,21
290,20
291,6
292,1
293,8
294,1
295,20
296,12
297,7
298,12
299,23
300,5
301,12
302,13
303,2
304,18
305,1
306,4
307,4
308,8
309,21
310,0
311,0
312,0
313,20
314,3
315,21
316,16
317,2
318,23
319,5
320,3
321,23
322,12
323,2
324,5
325,5
326,21
327,21
328,2
329,15
330,12
331,19
332,3
333,5
334,7
335,20
336,13
337,18
338,3
339,18
340,19
341,17
342,4
343,1
344,5
345,3
346,20
347,12
348,15
349,19
350,4
351,1
352,24
353,2
354,13
355,4
356,15
357,6
358,1
359,4
360,19
361,24
362,23
363,18
364,20
365,1
366,6
367,21
368,23
369,11
370,23
371,2
372,15
373,17
374,23
375,5
376,24
377,7
378,23
379,10
380,8
381,13
382,7
383,22
384,12
385,12
386,0
387,23
388,21
389,5
390,20
391,4
392,3
393,17
394,14
395,6
396,8
397,23
398,20
399,6
400,12
401,22
402,0
403,19
404,4
405,10
406,12
407,12
408,1
409,11
410,14
411,17
412,23
413,3
414,12
415,8
416,11
417,1
418,10
419,22
420,7
421,11
422,1
423,22
424,12
425,8
426,17
427,0
428,7
429,19
430,6
431,22
432,24
433,1
434,2
435,14
436,21
437,12
438,12
439,1
440,15
441,22
442,19
443,17
444,15
445,19
446,12
447,5
448,22
449,1
450,13
451,18
452,24
453,4
454,15
455,17
456,13
457,6
458,21
459,18
460,11
461,6
462,3
463,23
464,18
465,0
466,4
467,1
468,6
469,19
470,10
471,16
472,12
473,0
474,20
475,16
476,20
477,22
478,2
479,2
480,23
481,12
482,23
483,5
484,2
485,6
486,0
487,15
488,1
489,20
490,23
491,1
492,18
493,0
494,13
495,21
496,6
497,24
498,22
499,24
500,7
501,1
502,12
503,22
504,23
505,4
506,18
507,8
508,1
509,24
510,1
511,1
512,8
513,21
514,20
515,15
516,14
517,15
518,15
519,12
520,8
521,8
522,4
523,12
524,4
525,18
526,23
527,5
528,8
529,19
530,7
531,7
532,15
533,16
534,18
535,14
536,6
537,12
538,4
539,23
540,3
541,6
542,5
543,14
544,8
545,6
546,15
547,18
548,19
549,12
550,8
551,4
552,2
553,16
554,21
555,17
556,6
557,2
558,18
559,7
560,11
561,5
562,19
563,14
564,12
565,23
566,17
567,10
568,4
569,22
570,16
571,12
572,24
573,17
574,0
575,7
576,21
577,18
578,4
579,15
580,15
581,1
582,6
583,22
584,17
585,14
586,21
587,15
588,7
589,23
590,15
591,15
592,2
593,2
594,11
595,2
596,18
597,16
598,4
599,22
600,0
601,6
602,8
603,23
604,4
